category,title,img,grade,homepage,address,phone,lat,lon
프렌치 컨템포러리,보트르 메종,https://guide.michelin.co.kr/ko/wp-content/uploads/sites/4/2016/11/IMG_0327-495x250.jpg,icon-star,https://guide.michelin.co.kr/ko/restaurant/votre-maison/,"강남구 언주로 168길 16, 지하 1층",02-549-3800,37.5261638,127.0349468
스테이크하우스,볼트 스테이크하우스,https://guide.michelin.co.kr/ko/wp-content/uploads/sites/4/2016/11/IMG_1201-495x250.jpg,icon-others,https://guide.michelin.co.kr/ko/restaurant/vault-steakhouse/,"강남구 압구정로 72길 22, 2층",02-544-9235,37.5250179,127.0449811
냉면,봉피양,https://guide.michelin.co.kr/ko/wp-content/uploads/sites/4/2016/11/IMG_2353-495x250.jpg,icon-bib-gourmand,https://guide.michelin.co.kr/ko/restaurant/bongpiyang/,송파구 양재대로 71길 1-4,02-415-5527,37.5100086,127.126228
유러피안 컨템포러리,부띠끄 블루밍,https://guide.michelin.co.kr/ko/wp-content/uploads/sites/4/2016/11/IMG_5953_re-495x250.jpg,icon-others,https://guide.michelin.co.kr/ko/restaurant/boutique-blooming/,"강남구 언주로 835, 3층",02-518-1972,37.5252359,127.0328168
생태탕,부산식당,https://guide.michelin.co.kr/ko/wp-content/uploads/sites/4/2016/11/IMG_0874-495x250.jpg,icon-bib-gourmand,https://guide.michelin.co.kr/ko/restaurant/busan-sikdang/,종로구 인사동 11길 12,02-733-5761,37.5739447,126.9840307
타이,부아,https://guide.michelin.co.kr/ko/wp-content/uploads/sites/4/2016/11/IMG_1399-495x250.jpg,icon-bib-gourmand,https://guide.michelin.co.kr/ko/restaurant/bua/,"용산구 보광로 59길 9, 2층",02-792-3340,37.5338633,126.9934666
육회,부촌육회,https://guide.michelin.co.kr/ko/wp-content/uploads/sites/4/2016/11/IMG_3145-495x250.jpg,icon-bib-gourmand,https://guide.michelin.co.kr/ko/restaurant/buchon-yukhoe/,종로구 종로 200-12,02-2267-1831,37.5703923,126.9999247
한식,북막골,https://guide.michelin.co.kr/ko/wp-content/uploads/sites/4/2016/11/IMG_0836-495x250.jpg,icon-bib-gourmand,https://guide.michelin.co.kr/ko/restaurant/bukmakgol/,종로구 삼청로 124-6,02-730-0980,37.5865339,126.9820339
프렌치,비스트로 드 욘트빌,https://guide.michelin.co.kr/ko/wp-content/uploads/sites/4/2016/11/IMG_4230-495x250.jpg,icon-others,https://guide.michelin.co.kr/ko/restaurant/bistrot-de-yountville/,강남구 선릉로 158길 13-7,02-541-1550,37.5260781,127.0412464
프렌치,비스트로 차우기,https://guide.michelin.co.kr/ko/wp-content/uploads/sites/4/2016/11/IMG_0972-495x250.jpg,icon-others,https://guide.michelin.co.kr/ko/restaurant/bistrot-chaugi/,종로구 율곡로 6길 31,02-915-0105,37.5757941,126.9894082
한식,비채나,https://guide.michelin.co.kr/ko/wp-content/uploads/sites/4/2017/04/그림3-495x250.png,icon-star,https://guide.michelin.co.kr/ko/restaurant/%eb%b9%84%ec%b1%84%eb%82%98/,"용산구 이태원로 267, 2층",02-749-6795,37.5385136,127.0011731
바비큐,삼원가든,https://guide.michelin.co.kr/ko/wp-content/uploads/sites/4/2016/11/IMG_5004-495x250.jpg,icon-others,https://guide.michelin.co.kr/ko/restaurant/samwon-garden/,강남구 언주로 835,02-548-3030,37.5252359,127.0328168
수제비,삼청동 수제비,https://guide.michelin.co.kr/ko/wp-content/uploads/sites/4/2016/11/IMG_1214-495x250.jpg,icon-others,https://guide.michelin.co.kr/ko/restaurant/samcheongdong-sujebi/,종로구 삼청로 101-1,02-735-2965,37.5846207,126.9819229
바비큐,새벽집,https://guide.michelin.co.kr/ko/wp-content/uploads/sites/4/2016/11/IMG_0695-495x250.jpg,icon-others,https://guide.michelin.co.kr/ko/restaurant/saebyukjip/,강남구 도산대로 101길 6,02-546-5739,37.5255621,127.0528606
이탈리안,서촌김씨,https://guide.michelin.co.kr/ko/wp-content/uploads/sites/4/2016/11/서촌김씨2-495x250.jpg,icon-others,https://guide.michelin.co.kr/ko/restaurant/seochon-chef-kim/,종로구 자하문로 16길 4,02-730-7787,37.5814592,126.9714345
한식,석파랑,https://guide.michelin.co.kr/ko/wp-content/uploads/sites/4/2016/11/IMG_1525-1-495x250.jpg,icon-others,https://guide.michelin.co.kr/ko/restaurant/seokparang/,종로구 자하문로 309,02-395-2500,37.5992827,126.9587367
프렌치 컨템포러리,수마린,https://guide.michelin.co.kr/ko/wp-content/uploads/sites/4/2016/11/IMG_1258-e1478507581116-495x250.jpg,icon-others,https://guide.michelin.co.kr/ko/restaurant/sous-marin/,"용산구 한남대로 20길 47-24, 리플레이스 D동 지하 1층",02-790-0814,37.5353666,127.0100535
한식,수불,https://guide.michelin.co.kr/ko/wp-content/uploads/sites/4/2016/11/IMG_5453-495x250.jpg,icon-others,https://guide.michelin.co.kr/ko/restaurant/soobul/,서초구 서래로 4,02-3478-0886,37.4952925,126.9982225
이탈리안,스미스가 좋아하는 한옥,https://guide.michelin.co.kr/ko/wp-content/uploads/sites/4/2016/11/IMG_1195-1-495x250.jpg,icon-others,https://guide.michelin.co.kr/ko/restaurant/the-hanok-which-smith-likes/,종로구 삼청로 22-7,02- 722-7003,37.5780426,126.980071
소바,스바루,https://guide.michelin.co.kr/ko/wp-content/uploads/sites/4/2016/11/IMG_2034-495x250.jpg,icon-bib-gourmand,https://guide.michelin.co.kr/ko/restaurant/subaru/,서초구 방배로 42길 7,02-596-4882,37.4955208,126.9892459
스시,스시  선수,https://guide.michelin.co.kr/ko/wp-content/uploads/sites/4/2016/11/IMG_5793-495x250.jpg,icon-others,https://guide.michelin.co.kr/ko/restaurant/sushi-sunsoo/,"강남구 도산대로 45길 6, 호림아트센터2 M층",02-514-0812,37.5228824,127.0364579
스시,스시 초희,https://guide.michelin.co.kr/ko/wp-content/uploads/sites/4/2016/11/IMG_5016-495x250.jpg,icon-others,https://guide.michelin.co.kr/ko/restaurant/sushi-chohi/,강남구 도산대로 45길 18-6,02-545-8422,37.5237759,127.0359927
스시,스시만,https://guide.michelin.co.kr/ko/wp-content/uploads/sites/4/2016/11/IMG_5718-495x250.jpg,icon-others,https://guide.michelin.co.kr/ko/restaurant/sushi-man/,서초구 동광로 27길 3,02-533-0181,37.4941889,126.9947936
스시,스시조,https://guide.michelin.co.kr/ko/wp-content/uploads/sites/4/2016/11/restaurants_sushicho_view6-495x250.jpg,icon-others,https://guide.michelin.co.kr/ko/restaurant/sushi-cho/,"중구 소공로 106, 웨스틴 조선 호텔 20층",02-317-0373,37.5645108,126.9802069
스시,스시효,https://guide.michelin.co.kr/ko/wp-content/uploads/sites/4/2016/11/IMG_4623-495x250.jpg,icon-others,https://guide.michelin.co.kr/ko/restaurant/sushi-hyo/,강남구 선릉로 146길 25,02-545-0023,37.522096,127.0418924
이노베이티브,스와니예,https://guide.michelin.co.kr/ko/wp-content/uploads/sites/4/2016/11/soigne_05_1-495x250.jpg,icon-star,https://guide.michelin.co.kr/ko/restaurant/soigne/,서초구 반포대로 39길 46 지하 1층,02-3477-9386,37.4981389,127.0020078
한식,시화담,https://guide.michelin.co.kr/ko/wp-content/uploads/sites/4/2016/11/메뉴_주전부리-495x250.jpg,icon-others,https://guide.michelin.co.kr/ko/restaurant/si-wha-dam/,용산구 회나무로 75,02-798-3311,37.5406722,126.9948575
프렌치,아 따블르,https://guide.michelin.co.kr/ko/wp-content/uploads/sites/4/2016/11/IMG_0489-495x250.jpg,icon-others,https://guide.michelin.co.kr/ko/restaurant/a-table/,종로구 팔판길 29,02-736-1048,37.5831376,126.9811094
한식,아리랑,https://guide.michelin.co.kr/ko/wp-content/uploads/sites/4/2016/11/IMG_1034_re_3-495x250.jpg,icon-bib-gourmand,https://guide.michelin.co.kr/ko/restaurant/arirang/,중구 남대문로 7길 23,02-752-1342,37.5639169,126.9806035
프렌치,루이 쌍끄,https://guide.michelin.co.kr/ko/wp-content/uploads/sites/4/2016/11/20161128_203602-495x250.jpg,icon-others,https://guide.michelin.co.kr/ko/restaurant/louis-cinq/,"강남구 선릉로 157길 33, 2층",02-547-1259,37.526289,127.0370631
이노베이티브,류니끄,https://guide.michelin.co.kr/ko/wp-content/uploads/sites/4/2016/11/IMG_0693-e1478506658702-495x250.jpg,icon-others,https://guide.michelin.co.kr/ko/restaurant/ryunique/,강남구 강남대로 162길 40,02-546-9279,37.5207085,127.0216059
프렌치,르 꽁뜨와,https://guide.michelin.co.kr/ko/wp-content/uploads/sites/4/2016/11/IMG_0989-1-495x250.jpg,icon-others,https://guide.michelin.co.kr/ko/restaurant/le-comptoir/,강남구 도산대로 45길 10-5,02-512-8506,37.5234577,127.0362302
이탈리안 컨템포러리,리스토란테 에오,https://guide.michelin.co.kr/ko/wp-content/uploads/sites/4/2016/11/RISTORANTE-EO_3-495x250.jpg,icon-star,https://guide.michelin.co.kr/ko/restaurant/ristorante-eo/,강남구 도산대로 75길 15,02-3445-1926,37.5252042,127.045735
프렌치 컨템포러리,마누 테라스,https://guide.michelin.co.kr/ko/wp-content/uploads/sites/4/2016/11/Manu-Terrace-copyright-2-495x250.jpg,icon-others,https://guide.michelin.co.kr/ko/restaurant/manu-terrace/,"강남구 도산대로 59길 16, 4층",02-543-9020,37.5247851,127.0424156
만두,만두집,https://guide.michelin.co.kr/ko/wp-content/uploads/sites/4/2016/11/IMG_1909-495x250.jpg,icon-bib-gourmand,https://guide.michelin.co.kr/ko/restaurant/mandujip/,강남구 압구정로 338,02-544-3710,37.5279296,127.0388981
족발,만족 오향 족발,https://guide.michelin.co.kr/ko/wp-content/uploads/sites/4/2016/11/IMG_1321-495x250.jpg,icon-bib-gourmand,https://guide.michelin.co.kr/ko/restaurant/manjok-ohyang-jokbal/,중구 서소문로 134-7,02-753-4755,37.563283,126.9760255
프렌치,메종 드 라 카테고리,https://guide.michelin.co.kr/ko/wp-content/uploads/sites/4/2016/11/IMG_3944-495x250.jpg,icon-others,https://guide.michelin.co.kr/ko/restaurant/maison-de-la-categorie/,강남구 선릉로 826,02-545-6640,37.5255798,127.0402217
칼국수,명동 교자,https://guide.michelin.co.kr/ko/wp-content/uploads/sites/4/2016/11/IMG_5207-495x250.jpg,icon-bib-gourmand,https://guide.michelin.co.kr/ko/restaurant/myeongdong-kyoja/,중구 명동 10길 29,02-776-5348,37.5625823,126.985756
비빔밥,목멱산방,https://guide.michelin.co.kr/ko/wp-content/uploads/sites/4/2016/11/IMG_1967-495x250.jpg,icon-others,https://guide.michelin.co.kr/ko/restaurant/mokmyeoksanbang/,중구 남산공원길 125-72,02-318-4790,37.5523591,126.9873129
칼국수,목천집 (앵콜칼국수),https://guide.michelin.co.kr/ko/wp-content/uploads/sites/4/2016/11/IMG_5555-495x250.jpg,icon-bib-gourmand,https://guide.michelin.co.kr/ko/restaurant/mokcheon-jip-encore-kal-guksu/,서초구 효령로 52길 69,02-525-8418,37.4812988,127.0134163
중식,몽중헌,https://guide.michelin.co.kr/ko/wp-content/uploads/sites/4/2016/11/RenewalMongjungheon-Chungdam_store-Exterior-495x250.jpg,icon-others,https://guide.michelin.co.kr/ko/restaurant/mongjungheon/,강남구 도산대로 81길 49,02-3446-7887,37.5270465,127.0460119
한식,무궁화,https://guide.michelin.co.kr/ko/wp-content/uploads/sites/4/2016/11/IMG_4860-495x250.jpg,icon-others,https://guide.michelin.co.kr/ko/restaurant/mugunghwa/,"중구 을지로 30, 롯데호텔 38층",02-317-7061,37.5653618,126.9810115
이탈리안,미 피아체,https://guide.michelin.co.kr/ko/wp-content/uploads/sites/4/2016/11/IMG_4653-495x250.jpg,icon-others,https://guide.michelin.co.kr/ko/restaurant/mi-piace/,강남구 압구정로 80길 19-2,02-516-6317,37.5245168,127.0449893
한식,민스 키친,https://guide.michelin.co.kr/ko/wp-content/uploads/sites/4/2016/11/IMG_5419-495x250.jpg,icon-others,https://guide.michelin.co.kr/ko/restaurant/mins-kitchen/,"강남구 도산대로 45길 10-4, 지하 1층",02-544-1007,37.523168,127.0361876
코리안 컨템포러리,밍글스,https://guide.michelin.co.kr/ko/wp-content/uploads/sites/4/2016/11/IMG_3188-e1478506387846-495x250.jpg,icon-star,https://guide.michelin.co.kr/ko/restaurant/mingles/,"강남구 선릉로 757, 1층",02-515-7306,37.522225,127.0390269
사찰음식,발우공양,https://guide.michelin.co.kr/ko/wp-content/uploads/sites/4/2016/11/BALWOOGONGYANG_1-495x250.jpg,icon-star,https://guide.michelin.co.kr/ko/restaurant/balwoo-gongyang/,종로구 우정국로 56 템플스테이 빌딩 5층,02-733-2081,37.5739449,126.9832041
삼계탕,백년 토종 삼계탕,https://guide.michelin.co.kr/ko/wp-content/uploads/sites/4/2016/11/IMG_0586-495x250.jpg,icon-others,https://guide.michelin.co.kr/ko/restaurant/baecnyun-tojong-samgye-tang/,종로구 북촌로 41,02-747-5535,37.5806165,126.9847218
이노베이티브,알라 프리마,https://guide.michelin.co.kr/ko/wp-content/uploads/sites/4/2016/11/Alla-495x250.png,icon-star,https://guide.michelin.co.kr/ko/restaurant/alla-prima/,강남구 도산대로 30길 23,02-511-2555,37.5184382,127.0301247
한식,애류헌,https://guide.michelin.co.kr/ko/wp-content/uploads/sites/4/2016/11/IMG_0837-495x250.jpg,icon-others,https://guide.michelin.co.kr/ko/restaurant/erewhon/,강남구 도산대로 75길 19,02-3446-0005,37.5254955,127.0455625
불고기,역전회관,https://guide.michelin.co.kr/ko/wp-content/uploads/sites/4/2016/11/IMG_1068-495x250.jpg,icon-bib-gourmand,https://guide.michelin.co.kr/ko/restaurant/yukjeon-hoekwan/,마포구 토정로 37길 47,02-703-0019,37.5429283,126.9470201
족발,오가네 족발,https://guide.michelin.co.kr/ko/wp-content/uploads/sites/4/2016/11/IMG_1330-495x250.jpg,icon-bib-gourmand,https://guide.michelin.co.kr/ko/restaurant/ogane-jokbal/,강남구 논현로 36길 21,02-575-6608,37.4851132,127.0435989
바비큐,오근내 닭갈비,https://guide.michelin.co.kr/ko/wp-content/uploads/sites/4/2016/11/IMG_2543-495x250.jpg,icon-bib-gourmand,https://guide.michelin.co.kr/ko/restaurant/ogeunnae-dakgalbi/,용산구 이촌로 29길 15,02-797-0131,37.5245256,126.9597262
이탈리안,오스테리아 꼬또,https://guide.michelin.co.kr/ko/wp-content/uploads/sites/4/2016/11/IMG_5816-495x250.jpg,icon-others,https://guide.michelin.co.kr/ko/restaurant/osteria-cotto/,강남구 언주로 835,02-518-1962,37.5252359,127.0328168
냉면,오장동 함흥냉면,https://guide.michelin.co.kr/ko/wp-content/uploads/sites/4/2016/11/IMG_1526-495x250.jpg,icon-bib-gourmand,https://guide.michelin.co.kr/ko/restaurant/ojangdong-hamheung-naengmyeon/,중구 마른내로 108,02-2267-9500,37.5642841,126.9998661
한식,오통영,https://guide.michelin.co.kr/ko/wp-content/uploads/sites/4/2016/11/IMG_0649-495x250.jpg,icon-bib-gourmand,https://guide.michelin.co.kr/ko/restaurant/oh-tongyoung/,강남구 선릉로 158길 10 지하 1층,02-544-2377,37.5254451,127.0408581
한식,온달,https://guide.michelin.co.kr/ko/wp-content/uploads/sites/4/2016/11/워커힐-한식당-온달-낮것상차림-495x250.jpg,icon-others,https://guide.michelin.co.kr/ko/restaurant/ondal/,"광진구 워커힐로 177, 쉐라톤 그랜드 워커힐 호텔 2층",02-450-4518,37.5586439,127.1117098
중식,도림,https://guide.michelin.co.kr/ko/wp-content/uploads/sites/4/2016/11/IMG_0983-495x250.jpg,icon-others,https://guide.michelin.co.kr/ko/restaurant/toh-lim/,중구 을지로 30 롯데호텔 37층,02-317-7101,37.5653618,126.9810115
이노베이티브,도사,https://guide.michelin.co.kr/ko/wp-content/uploads/sites/4/2016/11/IMG_2402-e1478505528103-495x250.jpg,icon-others,https://guide.michelin.co.kr/ko/restaurant/dosa/,강남구 도산대로 67길 7 지하 1층,02-516-3672,37.5245062,127.0444419
이탈리안 컨템포러리,도우룸,https://guide.michelin.co.kr/ko/wp-content/uploads/sites/4/2016/11/IMG_1126-495x250.jpg,icon-others,https://guide.michelin.co.kr/ko/restaurant/doughroom/,"서초구 동광로 99, 2층",02-535-9386,37.4938565,126.9933419
이탈리안,두가헌,https://guide.michelin.co.kr/ko/wp-content/uploads/sites/4/2016/11/IMG_4945-495x250.jpg,icon-others,https://guide.michelin.co.kr/ko/restaurant/dugahun/,종로구 삼청로 14,02-3210-2100,37.5773133,126.9798213
한식,두레,https://guide.michelin.co.kr/ko/wp-content/uploads/sites/4/2016/11/IMG_1263_1-495x250.jpg,icon-others,https://guide.michelin.co.kr/ko/restaurant/doore/,종로구 인사동4길 5-24,02-732-2919,37.5733686,126.9866435
프렌치,라미띠에,https://guide.michelin.co.kr/ko/wp-content/uploads/sites/4/2016/11/IMG_4155-495x250.jpg,icon-star,https://guide.michelin.co.kr/ko/restaurant/lamitie/,"강남구 언주로 153길 7, 2층",02-546-9621,37.5226661,127.0325254
한식,라연,https://guide.michelin.co.kr/ko/wp-content/uploads/sites/4/2016/11/LAYEON_1-495x250.jpg,icon-star3,https://guide.michelin.co.kr/ko/restaurant/la-yeon/,중구 동호로 249 신라호텔 23층,02-2230-3367,37.5563327,127.0064244
프렌치 컨템포러리,랩 24,https://guide.michelin.co.kr/ko/wp-content/uploads/sites/4/2016/11/IMG_4077-495x250.jpg,icon-others,https://guide.michelin.co.kr/ko/restaurant/lab-xxiv/,"강남구 도산대로 57길 18, 2층",02-511-4523,37.5247328,127.0416342
프렌치,레스쁘아 뒤 이부,https://guide.michelin.co.kr/ko/wp-content/uploads/sites/4/2016/11/IMG_3202-495x250.jpg,icon-others,https://guide.michelin.co.kr/ko/restaurant/lespoir-du-hibou/,강남구 선릉로 152길 33,02-517-6034,37.5245673,127.0423272
칼국수,황생가 칼국수,https://guide.michelin.co.kr/ko/wp-content/uploads/sites/4/2016/11/IMG_0530_1-495x250.jpg,icon-bib-gourmand,https://guide.michelin.co.kr/ko/restaurant/hwangsaenga-kal-guksu/,종로구 북촌로 5길 78,02-739-6334,37.5801053,126.9806577
이탈리안,그라노,https://guide.michelin.co.kr/ko/wp-content/uploads/sites/4/2016/11/IMG_5996-495x250.jpg,icon-others,https://guide.michelin.co.kr/ko/restaurant/grano/,강남구 언주로 8길 16번지,02-540-1330,,
게장,꽃지,https://guide.michelin.co.kr/ko/wp-content/uploads/sites/4/2016/11/IMG_4018-495x250.jpg,icon-others,https://guide.michelin.co.kr/ko/restaurant/kkotji/,강남구 봉은사로 610,02-561-8788,37.5142294,127.0616312
냉면,남포면옥,https://guide.michelin.co.kr/ko/wp-content/uploads/sites/4/2016/11/IMG_0989-495x250.jpg,icon-others,https://guide.michelin.co.kr/ko/restaurant/nampo-myeonok/,중구 을지로 3길 24,02-777-3131,37.5671427,126.9816964
냉면,능라도,https://guide.michelin.co.kr/ko/wp-content/uploads/sites/4/2016/11/IMG_4449-495x250.jpg,icon-bib-gourmand,https://guide.michelin.co.kr/ko/restaurant/neung-ra-do/,강남구 언주로 107길  7,02-569-8939,37.507401,127.0382279
한식,다담,https://guide.michelin.co.kr/ko/wp-content/uploads/sites/4/2016/11/IMG_3740-495x250.jpg,icon-others,https://guide.michelin.co.kr/ko/restaurant/dadam/,강남구 도산대로 445 지하 1층,02-518-6161,37.5243483,127.0448015
프렌치 컨템포러리,다이닝 인 스페이스,https://guide.michelin.co.kr/ko/wp-content/uploads/sites/4/2016/11/IMG_5054-495x250.jpg,icon-star,https://guide.michelin.co.kr/ko/restaurant/dining-in-space/,종로구 율곡로 83 아라리오 스페이스 5층,02-747-8105,37.5776467,126.9884439
한식,달 식탁,https://guide.michelin.co.kr/ko/wp-content/uploads/sites/4/2016/11/IMG_0184-495x250.jpg,icon-others,https://guide.michelin.co.kr/ko/restaurant/dal-siktak/,강남구 도산대로 15길 11 지하1층,02-511-9440,37.5190627,127.0237974
중식,대가방,https://guide.michelin.co.kr/ko/wp-content/uploads/sites/4/2016/11/IMG_3761-495x250.jpg,icon-others,https://guide.michelin.co.kr/ko/restaurant/daegabang/,강남구 선릉로 145길 13,02-544-6336,37.5211626,127.0385549
도가니탕,대성집,https://guide.michelin.co.kr/ko/wp-content/uploads/sites/4/2016/11/IMG_0813-495x250.jpg,icon-bib-gourmand,https://guide.michelin.co.kr/ko/restaurant/daesungjip/,종로구 사직로 5,02-735-4259,37.572747,126.960942
프렌치 컨템포러리,줄라이,https://guide.michelin.co.kr/ko/wp-content/uploads/sites/4/2016/11/JULY_04-495x250.jpg,icon-others,https://guide.michelin.co.kr/ko/restaurant/july/,서초구 동광로 164,02-534-9544,37.49475,126.9999858
한식,지화자,https://guide.michelin.co.kr/ko/wp-content/uploads/sites/4/2016/11/jihwajafood1-495x250.jpg,icon-others,https://guide.michelin.co.kr/ko/restaurant/jihwaja/,종로구 자하문로 125,02-2269-5834,37.5871193,126.9693968
게장,진미식당,https://guide.michelin.co.kr/ko/wp-content/uploads/sites/4/2016/11/IMG_1695-495x250.jpg,icon-others,https://guide.michelin.co.kr/ko/restaurant/jinmi-sikdang/,마포구 마포대로 186-6,02-3211-4468,37.5505866,126.9557832
중식,진진,https://guide.michelin.co.kr/ko/wp-content/uploads/sites/4/2016/11/IMG_1812-495x250.jpg,icon-star,https://guide.michelin.co.kr/ko/restaurant/jin-jin/,마포구 잔다리로 123,070-5035-8878,37.5578089,126.9132762
칼국수,찬양집,https://guide.michelin.co.kr/ko/wp-content/uploads/sites/4/2016/11/IMG_0845-495x250.jpg,icon-bib-gourmand,https://guide.michelin.co.kr/ko/restaurant/chanyangjip/,종로구 돈화문로 11 다길 5,02-743-1384,37.5727939,126.9902943
한식,채근담,https://guide.michelin.co.kr/ko/wp-content/uploads/sites/4/2016/11/IMG_6020-495x250.jpg,icon-others,https://guide.michelin.co.kr/ko/restaurant/chaegundaam/,강남구 역삼로 98길 23 지하 1층,02-555-9173,37.5034304,127.0650721
바비큐,충무로 쭈꾸미 불고기,https://guide.michelin.co.kr/ko/wp-content/uploads/sites/4/2016/11/IMG_1506-495x250.jpg,icon-bib-gourmand,https://guide.michelin.co.kr/ko/restaurant/chumgmuro-jjukkumi-bulgogi/,중구 퇴계로 31길 11,02-2279-0803,37.5617751,126.9922019
일식,카덴,https://guide.michelin.co.kr/ko/wp-content/uploads/sites/4/2016/11/IMG_1222-1-495x250.jpg,icon-others,https://guide.michelin.co.kr/ko/restaurant/caden/,서대문구 연희로 173,02-337-6360,37.5725223,126.9350825
이탈리안 컨템포러리,코로비아,https://guide.michelin.co.kr/ko/wp-content/uploads/sites/4/2016/11/KOROVIAR-FOOD3-495x250.jpg,icon-others,https://guide.michelin.co.kr/ko/restaurant/koroviar/,용산구 대사관로 25,02-795-9660,37.5338996,127.0012086
설렁탕,외고집 설렁탕,https://guide.michelin.co.kr/ko/wp-content/uploads/sites/4/2016/11/IMG_4745-495x250.jpg,icon-others,https://guide.michelin.co.kr/ko/restaurant/oegojip-sellongtang/,강남구 선릉로 64길 15 지하 1층,02-567-5225,37.4981155,127.0534854
추어탕,용금옥,https://guide.michelin.co.kr/ko/wp-content/uploads/sites/4/2016/11/IMG_1670-495x250.jpg,icon-bib-gourmand,https://guide.michelin.co.kr/ko/restaurant/yonggeumok/,종로구 자하문로 41-2,02-777-4749,37.579783,126.9709082
